"id","slug","scheme_name","description","states","level","scheme_for","close_date","tags","created_at"
1,"syss","Skilled Youth Startup Scheme","Sikkim Skilled Youth Startup Scheme was launched in 2020 and is implemented by the Department of Commerce & Industries which aims at assisting the educated unemployed youth in setting up a myriad of enterprises through loans with back-ended financial subsidy assistance. ","[""Sikkim""]","State","Individual","None","[""Business"", ""StartUp"", ""Employment"", ""Entrepreneurship"", ""Youth""]","2026-03-11 22:53:24.007117+05:30"
2,"kbpyy","Krishak Bakri Palan Yojna","The Department of Animal Husbandry, Government of Himachal Pradesh has introduced a scheme named ""Krishak Bakri Palan Yojna"" with the aim to increase income generation opportunities for economically weaker segments of the society as well as to increase meat production.","[""Himachal Pradesh""]","State","Individual","None","[""Goat Farming Scheme"", ""Animal Husbandry"", ""Financial Assistance"", ""Rural Development""]","2026-03-11 22:53:24.007166+05:30"
3,"mmkssy-assam","Mukhya Mantri Krishi Sa Sajuli Yozana - Assam","The scheme “Mukhya Mantri Krishi Sa Sajuli Yojana” is a State Owned Priority Development (SOPD) scheme for farmers launched by the Assam government in FY 2018-19.  The main purpose of launching this scheme for farmers is their holistic development by implementing several farm mechanization schemes.","[""Assam""]","State","Individual","None","[""Farmer"", ""Agriculture"", ""Direct Benefit Transfer"", ""Financial Assistance"", ""Farm Tools""]","2026-03-11 22:53:24.007176+05:30"
4,"madilu","Madilu Kit","The Madilu Programme is a government initiative focused on empowering rural communities through skill development and entrepreneurship opportunities.
It aims to create sustainable livelihoods, reduce poverty, and enhance social and economic well-being in rural areas.","[""Karnataka""]","State","Individual","None","[""Skill Development"", ""Entrepreneurship"", ""Livelihoods"", ""Poverty Reduction""]","2026-03-11 22:53:24.007181+05:30"
5,"cctofp","Community Canning & Training On Fruit Preservation","The office of the Deputy Director of Agriculture (Fruit Preservation) Assam was
created in 1978, under the Directorate of Agriculture and in 2008 it was transferred to the Directorate of Horticulture and Food Processing.","[""Assam""]","State","Individual","None","[""Fruit Preservation"", ""Community Canning"", ""Training""]","2026-03-11 22:53:24.007186+05:30"
6,"uppy","Uttam Pashu Puraskar Yojana","The scheme “Uttam Pashu Puraskar Yojana” was launched by the Department of Animal Husbandry, Government of Himachal Pradesh to provide incentives and encouragement to livestock Owners for rearing good quality high yielding animals.","[""Himachal Pradesh""]","State","Individual","None","[""Livestock"", ""Cattle"", ""Buffaloes"", ""Cash Prize"", ""Milk""]","2026-03-11 22:53:24.00719+05:30"
7,"sse25krbust","Subsidy Scheme On Establishment Of - 25 Kadaknath/R.I.R. Birds Unit To Scheduled Tribes","The scheme “Subsidy Scheme on Establishment of - 25 Kadaknath/R.I.R. Birds Unit to Scheduled Tribes” was launched by the Dept. of Agriculture, Farmers Welfare & Co-operation, Govt. of Gujarat to provide employment, nutritious diet and to raise the income of Scheduled Tribe People of Gujarat State.","[""Gujarat""]","State","Individual","None","[""Poultry Farming"", ""Scheduled Tribe"", ""Subsidy"", ""Kadaknath"", ""Financial Assistance"", ""Rhode Island Red (RIR)""]","2026-03-11 22:53:24.007193+05:30"
8,"ioaibfcpbic","Incentive To Owners Of Artificial Insemination Born Female Calf Through Pure Breeding In Indigenous Cow","The scheme “Incentive to Owners of Artificial Insemination Born Female Calf through Pure Breeding in Indigenous Cow” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.","[""Gujarat""]","State","Individual","None","[""Incentive"", ""Artificial Insemination"", ""Indigenous Cow"", ""Livestock""]","2026-03-11 22:53:24.007197+05:30"
9,"itg","Incentive To Girls","Rajasthan State started a scheme ""Incentive for Girls"" for state students.","[""Rajasthan""]","State","Individual","None","[""Financial Assistance"", ""Girl Education"", ""Empowerment"", ""Higher Education""]","2026-03-11 22:53:24.007201+05:30"
10,"ipwccb","Internship Programme Of The Wildlife Crime Control Bureau (MoEFCC)","Internship at Wildlife Crime Control Bureau (WCCB) provides an excellent opportunity for students/researchers to familiarize themselves with various issues related to wildlife & the functioning of WCCB. The intern shall have an orientation session and would be assigned specific areas of work.","[""All""]","Central","Individual","None","[""Internship"", ""Wildlife"", ""Crime"", ""Student"", ""Environment""]","2026-03-11 22:53:25.375996+05:30"
11,"nfsmcss","National Food Security Mission NFSM","National Food Security Mission was launched in 2007-08 to increase the production of rice, wheat and pulses. Later, coarse cereals, nutri cereals, commercial crops (sugarcane, jute, and cotton) were also added to the mission.","[""All""]","Central","Individual","None","[""Demonstration"", ""Seed Distribution"", ""Seed Hub"", ""Seed Production"", ""Pulses"", ""Rice"", ""Wheat"", ""Nutri Cereals"", ""Millets""]","2026-03-11 22:53:25.376011+05:30"
12,"cdpnerqucsbp","Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Supply of Baby Pulpers","The scheme ""Supply of Baby Pulpers"" aims to facilitate the improvement of the quality of coffee produced by growers by encouraging them to establish infrastructure for quality enhancement and obtain certification for their coffees, enabling them to earn better returns.","[""All""]","Central","Individual","None","[""Agriculture"", ""Farmer"", ""Subsidy"", ""DBT""]","2026-03-11 22:53:25.376016+05:30"
13,"cdpnerqucdy","Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Drying Yards","The scheme ""Quality Upgradation / Certification: Drying Yards"" aims to facilitate the improvement of the quality of coffee produced by growers by encouraging them to establish infrastructure for quality enhancement and obtain certification for their coffees, enabling them to earn better returns. ","[""All""]","Central","Individual","None","[""Agriculture"", ""Farmer"", ""Subsidy"", ""DBT""]","2026-03-11 22:53:25.37602+05:30"
14,"fapsnsrna","Financial Assistance To Purchase Singel Net / Small Rampon Net & Its Accessories","The scheme “Financial Assistance To Purchase Singel Net / Small Rampon Net & Its Accessories” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, a 50% subsidy is provided to the fishermen of Goa for the purchase of Singel Net/ Small Rampon Net and its accessories.","[""Goa""]","State","Individual","None","[""Fishermen"", ""Fish"", ""Subsidy"", ""Financial Assistance"", ""Marine""]","2026-03-11 22:53:25.376024+05:30"
15,"fatpomo2t5ffttfc","Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe","“Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe” is a scheme by the Department of Fisheries, Government of Goa. This Scheme has been introduced to grant financial assistance in the form of a subsidy on the purchase of an outboard motor of 2HP to 5HP.","[""Goa""]","State","Individual","None","[""Fishermen"", ""Fish"", ""Financial Assistance"", ""Subsidy""]","2026-03-11 22:53:25.376029+05:30"
16,"fapcnfclt26ffiw","Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa","The scheme has been introduced to uplift the sizeable community of traditional Fishermen, by providing them financial help in the form of subsidy on the construction/ purchase of Fishing Craft less than 26 feet for fishing in inland waters of Goa. The applications are accepted only in offline mode.","[""Goa""]","State","Individual","None","[""Fishermen"", ""Fish"", ""Subsidy"", ""Financial Assistance""]","2026-03-11 22:53:25.376033+05:30"
17,"fafvrdfparfv","Financial Assistance to the Fish Vendors Registered with the Directorate of Fisheries to Purchase the Accessories Required for Fish Vending","Under this scheme, Financial Assistance is provided to the fish vendors for the purchase of Crates, Weighing Balance, Insulated Box, Gloves, Stools, Platforms to keep Fish/ Shed/ Umbrella, Choppers, and Other Equipment, so that the fish can reach the people in hygienic conditions.","[""Goa""]","State","Individual","None","[""Fish"", ""Vendor"", ""Business"", ""Financial Assistance"", ""Subsidy""]","2026-03-11 22:53:25.376039+05:30"
